run,rouge1,rouge2,rougeL,rougeLsum,greedy_tok_per_sec_p50,beam_tok_per_sec_p50,greedy_tok_per_sec_p90,beam_tok_per_sec_p90,greedy_tok_per_sec_p95,beam_tok_per_sec_p95,peak_vram_gb,ttft_ms_avg
base,0.21134094683924115,0.05060610676454813,0.13931090985051092,0.16687025104328657,174.03568600253158,29.511965309864834,245.5539036781289,32.83956486043082,279.86644030933337,33.000156722690825,14.79,14.767829794436693
lora_scratch,0.276937092145204,0.062129403316435926,0.18298732207663454,0.2526518394051439,178.49458970405766,29.699328575251407,250.78502597620124,33.64537184519089,284.79082350795596,34.4114466277798,14.53,15.467421151697636
lora_peft,0.2742205478356979,0.06170768125145078,0.19133246450186725,0.24870103244311886,176.86477210507755,29.767541784948385,252.63782464294107,33.16827159829089,286.60624055897046,33.72731568061562,14.53,13.988271355628967
qlora,0.287116187257882,0.07421125185632342,0.2013469617809079,0.2629966435019486,130.1710104406544,15.54023894677712,176.92680437071374,16.600306792460273,220.6286943315415,17.026577680051258,14.53,15.562491491436958
