method,rank,alpha,lr,run_name,rouge1,rouge2,rougeL,rougeLsum,greedy_tok_per_sec_p50,beam_tok_per_sec_p50,greedy_tok_per_sec_p90,beam_tok_per_sec_p90,greedy_tok_per_sec_p95,beam_tok_per_sec_p95,peak_vram_gb,ttft_ms_avg
qlora,2,4,0.0002,qlora_r2_a4_lr0.0002_mistral7bv03_cnndaily_20260423_164506,0.287116187257882,0.07421125185632342,0.2013469617809079,0.2629966435019486,130.1710104406544,15.54023894677712,176.92680437071374,16.600306792460273,220.6286943315415,17.026577680051258,14.53,15.562491491436958
qlora,4,8,0.0002,qlora_r4_a8_lr0.0002_mistral7bv03_cnndaily_20260423_164640,0.2907694695648039,0.07048508814515445,0.20079727805366318,0.26170962968772626,124.03700455878257,15.696149841849405,174.46996482384137,31.339915139787117,197.05211664881043,33.92626629586513,14.53,15.715491864830256
qlora,8,16,0.0002,qlora_r8_a16_lr0.0002_mistral7bv03_cnndaily_20260423_172200,0.28077930689507585,0.06336551233414295,0.19123838778622038,0.25323509020356216,127.75739936545664,15.491749116052828,175.9150987718774,17.216126944844,198.50126344224986,17.92060964940343,14.53,15.686084516346455
qlora,16,32,0.0002,qlora_r16_a32_lr0.0002_mistral7bv03_cnndaily_20260423_172329,0.27851585637144816,0.0620526746691307,0.19229671665243434,0.2526092613811204,126.52341255439578,15.339801981347055,171.68063080053614,17.32261448991103,194.2194262799903,18.239174993916723,14.53,16.06095852330327
qlora,32,64,0.0002,qlora_r32_a64_lr0.0002_mistral7bv03_cnndaily_20260423_173407,0.2779405534849718,0.0619341172342315,0.18924914961759143,0.25403371356923854,129.08526916104427,15.433454306106846,174.16125729137383,16.840308266945623,194.81568229832638,17.147407292891078,14.53,16.089672036468983
qlora,64,128,0.0002,qlora_r64_a128_lr0.0002_mistral7bv03_cnndaily_20260423_173605,0.2679781480199579,0.05432142587146928,0.1802320350348601,0.2428756482893436,126.29563760645871,15.185654527892936,175.26149658658983,17.51703945075498,192.11015363764682,18.213273527994307,14.53,16.216680221259594
